"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Note","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",1.78,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
1773,NA,NA,"Mycobacterium tuberculosis","mutation rate per site per year",1.8,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacterium",1763,"genus"
1496,NA,NA,"Clostridium difficile","mutation rate per site per year",1.88,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Clostridioides",1870884,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",1.9,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
1773,NA,NA,"Mycobacterium tuberculosis","mutation rate per site per year",1.93,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacterium",1763,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",1.94,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
287,NA,NA,"Pseudomonas aeruginosa","mutation rate per site per year",2.11,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Pseudomonas",286,"genus"
520,NA,NA,"Bordetella pertussis","mutation rate per site per year",2.24,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Bordetella",517,"genus"
666,NA,NA,"Vibrio cholerae","mutation rate per site per year",2.35,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Vibrio",662,"genus"
485,NA,NA,"Neisseria gonorrhoeae","mutation rate per site per year",2.5,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Neisseria",482,"genus"
573,NA,NA,"Klebsiella pneumoniae","mutation rate per site per year",2.56,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Klebsiella",570,"genus"
573,NA,NA,"Klebsiella pneumoniae","mutation rate per site per year",2.99,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Klebsiella",570,"genus"
1496,NA,NA,"Clostridium difficile","mutation rate per site per year",3.2,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Clostridioides",1870884,"genus"
152500,NA,NA,"Burkholderia dolosa","mutation rate per site per year",3.28,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Burkholderia",32008,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",3.35,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",3.4,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
633,NA,NA,"Yersinia pseudotuberculosis","mutation rate per site per year",3.57,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
36809,NA,NA,"Mycobacterium abscessus","mutation rate per site per year",3.63,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycobacteroides",670516,"genus"
1646,NA,NA,"Renibacterium salmoninarum","mutation rate per site per year",3.8,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Renibacterium",1645,"genus"
633,NA,NA,"Yersinia pseudotuberculosis","mutation rate per site per year",3.87,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",3.9,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
287,NA,NA,"Pseudomonas aeruginosa","mutation rate per site per year",3.95,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Pseudomonas",286,"genus"
287,NA,NA,"Pseudomonas aeruginosa","mutation rate per site per year",4.3,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Pseudomonas",286,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",4.5,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
1336,NA,NA,"Streptococcus equi","mutation rate per site per year",5.22,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",5.35,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
1311,NA,NA,"Streptococcus agalactiae","mutation rate per site per year",5.6,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
633,NA,NA,"Yersinia pseudotuberculosis","mutation rate per site per year",5.63,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
624,NA,NA,"Shigella sonnei","mutation rate per site per year",6,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Shigella",620,"genus"
1311,NA,NA,"Streptococcus agalactiae","mutation rate per site per year",6.4,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
160,NA,NA,"Treponema pallidum","mutation rate per site per year",6.6,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Treponema",157,"genus"
1311,NA,NA,"Streptococcus agalactiae","mutation rate per site per year",7.5,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
1314,NA,NA,"Streptococcus pyogenes","mutation rate per site per year",8.06,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
666,NA,NA,"Vibrio cholerae","mutation rate per site per year",8.3,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Vibrio",662,"genus"
633,NA,NA,"Yersinia pseudotuberculosis","mutation rate per site per year",8.67,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
622,NA,NA,"Shigella dysenteriae","mutation rate per site per year",8.7,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Shigella",620,"genus"
1311,NA,NA,"Streptococcus agalactiae","mutation rate per site per year",9.3,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
666,NA,NA,"Vibrio cholerae","mutation rate per site per year",9.6,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Vibrio",662,"genus"
1314,NA,NA,"Streptococcus pyogenes","mutation rate per site per year",11,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",12.2,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",12.5,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",13,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
470,NA,NA,"Acinetobacter baumannii","mutation rate per site per year",15,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Acinetobacter",469,"genus"
1352,NA,NA,"Enterococcus faecium","mutation rate per site per year",15,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Enterococcus",1350,"genus"
1313,NA,NA,"Streptococcus pneumoniae","mutation rate per site per year",15.7,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Streptococcus",1301,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",16,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",16.8,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",20,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
633,NA,NA,"Yersinia pseudotuberculosis","mutation rate per site per year",20.1,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Yersinia",629,"genus"
470,NA,NA,"Acinetobacter baumannii","mutation rate per site per year",24.7,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Acinetobacter",469,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",27.7,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
210,NA,NA,"Helicobacter pylori","mutation rate per site per year",29.35,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Helicobacter",209,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",32.5,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",33,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
1280,NA,NA,"Staphylococcus aureus","mutation rate per site per year",37.9,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Staphylococcus",1279,"genus"
210,NA,NA,"Helicobacter pylori","mutation rate per site per year",54.2,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Helicobacter",209,"genus"
28901,NA,NA,"Salmonella enterica","mutation rate per site per year",100,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Salmonella",590,"genus"
2096,NA,NA,"Mycoplasma gallisepticum","mutation rate per site per year",102,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Mycoplasma",2093,"genus"
210,NA,NA,"Helicobacter pylori","mutation rate per site per year",138,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Helicobacter",209,"genus"
287,NA,NA,"Pseudomonas aeruginosa","mutation rate per site per year",154.5,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Pseudomonas",286,"genus"
83554,NA,NA,"Chlamydia psittaci","mutation rate per site per year",174,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Chlamydia",810,"genus"
197,NA,NA,"Campylobacter jejuni","mutation rate per site per year",323,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Campylobacter",194,"genus"
210,NA,NA,"Helicobacter pylori","mutation rate per site per year",410,"Gibson_2018","exp","sometimes","high","Genome mutation accumulation rate (x10^-7)","species","Helicobacter",209,"genus"
